Workspace Name,Bound Object,Target Object,Field Code,Field Label,Location / Tab,Row Index,Column Index,Required Option,Read Only Option,Object Field ID,Data Type,Is System Field,Is Nullable,Is Lookup,Max Length
real_edge_03_split_panel_contact,Contact,Contact,Contact.Addr,Addr,Top Form Layout,5,0,No,No,—,Standard Data Field,Yes,Yes,No,—
real_edge_03_split_panel_contact,Contact,Contact,Contact.PhOffice,&Mobile Phone,Top Form Layout,6,0,No,No,—,Standard Data Field,Yes,Yes,No,—
real_edge_03_split_panel_contact,Contact,Contact,Contact.C$CustomerId,C$CustomerId,Top Form Layout,7,0,,,—,Standard Data Field,Yes,Yes,Yes,—
real_edge_03_split_panel_contact,Contact,Contact,Contact.Email,Email,Top Form Layout,8,0,No,No,10002,Text,No,Yes,No,255
real_edge_03_split_panel_contact,Contact,Contact,Contact.CtypeId,CtypeId,Top Form Layout,9,0,No,No,—,Standard Data Field,Yes,Yes,Yes,—
real_edge_03_split_panel_contact,Contact,Contact,Contact.C$Gender,C$Gender,Top Form Layout,10,0,,,—,Standard Data Field,Yes,Yes,No,—
New Workspace,Contact,Contact,Contact.C$AccountNumber,C$AccountNumber,Summary,0,0,,,—,Standard Data Field,Yes,Yes,No,—
New Workspace,Contact,Contact,Contact.PhOffice,PhOffice,Summary,1,0,No,No,—,Standard Data Field,Yes,Yes,No,—
New Workspace,Contact,Contact,Contact.OrgId,OrgId,Summary,3,0,No,No,—,Standard Data Field,Yes,Yes,Yes,—
New Workspace,Contact,Contact,Contact.Addr,Addr,Summary,4,0,No,No,—,Standard Data Field,Yes,Yes,No,—
New Workspace,Contact,Contact,Contact.C$Gender,C$Gender,Summary,5,0,,,—,Standard Data Field,Yes,Yes,No,—
New Workspace,Contact,Contact,Contact.Email,Email,Summary,6,0,No,No,10002,Text,No,Yes,No,255
